# Every rb_*/ruby_* symbol a C extension can link against, from clang's AST
# of the vendored headers. Regenerate with `tools/zeo-dev cext api`.
#
# status=zeo     the runtime exports it
# status=stub    not written yet; stubs.rs raises NotImplementedError
# status=refused a DECISION, with the reason in the raise; see REFUSED in
#                tools/lib/zeo_dev/commands/cext.rb
# status=global  a VALUE symbol stubs.rs defines and cext::globals fills
symbol	kind	status	signature
rb_econv_prepare_options	fn	stub	int (VALUE, VALUE *, int)
rb_econv_prepare_opts	fn	stub	int (VALUE, VALUE *)
rb_econv_putback	fn	stub	void (rb_econv_t *, unsigned char *, int)
rb_econv_putbackable	fn	stub	int (rb_econv_t *)
rb_econv_set_replacement	fn	stub	int (rb_econv_t *, const unsigned char *, size_t, const char *)
rb_econv_str_append	fn	stub	VALUE (rb_econv_t *, VALUE, VALUE, int)
rb_econv_str_convert	fn	stub	VALUE (rb_econv_t *, VALUE, int)
rb_econv_substr_append	fn	stub	VALUE (rb_econv_t *, VALUE, long, long, VALUE, int)
rb_econv_substr_convert	fn	stub	VALUE (rb_econv_t *, VALUE, long, long, int)
rb_enc_alias	fn	zeo	int (const char *, const char *)
rb_enc_ascget	fn	zeo	int (const char *, const char *, int *, rb_encoding *)
rb_enc_associate	fn	zeo	VALUE (VALUE, rb_encoding *)
rb_enc_associate_index	fn	zeo	VALUE (VALUE, int)
rb_enc_capable	fn	zeo	int (VALUE)
rb_enc_check	fn	zeo	rb_encoding *(VALUE, VALUE)
rb_enc_codelen	fn	zeo	int (int, rb_encoding *)
rb_enc_codepoint_len	fn	zeo	unsigned int (const char *, const char *, int *, rb_encoding *)
rb_enc_compatible	fn	zeo	rb_encoding *(VALUE, VALUE)
rb_enc_copy	fn	zeo	void (VALUE, VALUE)
rb_enc_default_external	fn	zeo	VALUE (void)
rb_enc_default_internal	fn	zeo	VALUE (void)
rb_enc_dummy_p	fn	zeo	int (rb_encoding *)
rb_enc_fast_mbclen	fn	zeo	int (const char *, const char *, rb_encoding *)
rb_enc_find	fn	zeo	rb_encoding *(const char *)
rb_enc_find_index	fn	zeo	int (const char *)
rb_enc_from_encoding	fn	zeo	VALUE (rb_encoding *)
rb_enc_from_index	fn	zeo	rb_encoding *(int)
rb_enc_get	fn	zeo	rb_encoding *(VALUE)
rb_enc_get_index	fn	zeo	int (VALUE)
rb_enc_interned_str	fn	zeo	VALUE (const char *, long, rb_encoding *)
rb_enc_interned_str_cstr	fn	zeo	VALUE (const char *, rb_encoding *)
rb_enc_mbclen	fn	zeo	int (const char *, const char *, rb_encoding *)
rb_enc_nth	fn	zeo	char *(const char *, const char *, long, rb_encoding *)
rb_enc_path_end	fn	zeo	char *(const char *, const char *, rb_encoding *)
rb_enc_path_last_separator	fn	zeo	char *(const char *, const char *, rb_encoding *)
rb_enc_path_next	fn	zeo	char *(const char *, const char *, rb_encoding *)
rb_enc_path_skip_prefix	fn	zeo	char *(const char *, const char *, rb_encoding *)
rb_enc_precise_mbclen	fn	zeo	int (const char *, const char *, rb_encoding *)
rb_enc_raise	fn	stub	void (rb_encoding *, VALUE, const char *, ...) __attribute__((noreturn))
rb_enc_reg_new	fn	zeo	VALUE (const char *, long, rb_encoding *, int)
rb_enc_set_default_external	fn	zeo	void (VALUE)
rb_enc_set_default_internal	fn	zeo	void (VALUE)
rb_enc_set_index	fn	zeo	void (VALUE, int)
rb_enc_sprintf	fn	stub	VALUE (rb_encoding *, const char *, ...)
rb_enc_str_asciionly_p	fn	zeo	int (VALUE)
rb_enc_str_buf_cat	fn	zeo	VALUE (VALUE, const char *, long, rb_encoding *)
rb_enc_str_coderange	fn	zeo	int (VALUE)
rb_enc_str_new	fn	zeo	VALUE (const char *, long, rb_encoding *)
rb_enc_str_new_cstr	fn	zeo	VALUE (const char *, rb_encoding *)
rb_enc_str_new_static	fn	zeo	VALUE (const char *, long, rb_encoding *)
rb_enc_strlen	fn	zeo	long (const char *, const char *, rb_encoding *)
rb_enc_symname2_p	fn	zeo	int (const char *, long, rb_encoding *)
rb_enc_symname_p	fn	zeo	int (const char *, rb_encoding *)
rb_enc_to_index	fn	zeo	int (rb_encoding *)
rb_enc_tolower	fn	zeo	int (int, rb_encoding *)
rb_enc_toupper	fn	zeo	int (int, rb_encoding *)
rb_enc_uint_chr	fn	zeo	VALUE (unsigned int, rb_encoding *)
rb_enc_unicode_p	fn	zeo	int (rb_encoding *)
rb_enc_vsprintf	fn	stub	VALUE (rb_encoding *, const char *, va_list)
rb_ensure	fn	zeo	VALUE (VALUE (*)(VALUE), VALUE, VALUE (*)(VALUE), VALUE)
rb_enum_values_pack	fn	zeo	VALUE (int, const VALUE *)
rb_enumeratorize	fn	zeo	VALUE (VALUE, VALUE, int, const VALUE *)
rb_enumeratorize_with_size	fn	zeo	VALUE (VALUE, VALUE, int, const VALUE *, rb_enumerator_size_func *)
rb_enumeratorize_with_size_kw	fn	zeo	VALUE (VALUE, VALUE, int, const VALUE *, rb_enumerator_size_func *, int)
rb_env_clear	fn	zeo	VALUE (void)
rb_eof_error	fn	stub	void (void) __attribute__((noreturn))
rb_eql	fn	zeo	int (VALUE, VALUE)
rb_equal	fn	zeo	VALUE (VALUE, VALUE)
rb_errinfo	fn	zeo	VALUE (void)
rb_errno	fn	zeo	int (void)
rb_errno_ptr	fn	zeo	int *(void)
rb_errno_set	fn	zeo	void (int)
rb_error_arity	fn	zeo	void (int, int, int) __attribute__((noreturn))
rb_error_frozen	fn	zeo	void (const char *) __attribute__((noreturn))
rb_error_frozen_object	fn	zeo	void (VALUE) __attribute__((noreturn))
rb_eval_cmd_kw	fn	zeo	VALUE (VALUE, VALUE, int)
rb_eval_string	fn	zeo	VALUE (const char *)
rb_eval_string_protect	fn	zeo	VALUE (const char *, int *)
rb_eval_string_wrap	fn	zeo	VALUE (const char *, int *)
rb_exc_fatal	fn	zeo	void (VALUE) __attribute__((noreturn))
rb_exc_new	fn	zeo	VALUE (VALUE, const char *, long)
rb_exc_new_cstr	fn	zeo	VALUE (VALUE, const char *)
rb_exc_new_str	fn	zeo	VALUE (VALUE, VALUE)
rb_exc_raise	fn	zeo	void (VALUE) __attribute__((noreturn))
rb_exec_recursive	fn	zeo	VALUE (VALUE (*)(VALUE, VALUE, int), VALUE, VALUE)
rb_exec_recursive_outer	fn	zeo	VALUE (VALUE (*)(VALUE, VALUE, int), VALUE, VALUE)
rb_exec_recursive_paired	fn	zeo	VALUE (VALUE (*)(VALUE, VALUE, int), VALUE, VALUE, VALUE)
rb_exec_recursive_paired_outer	fn	zeo	VALUE (VALUE (*)(VALUE, VALUE, int), VALUE, VALUE, VALUE)
rb_exit	fn	zeo	void (int) __attribute__((noreturn))
rb_ext_ractor_safe	fn	zeo	void (bool)
rb_ext_resolve_symbol	fn	zeo	void *(const char *, const char *)
rb_extend_object	fn	zeo	void (VALUE, VALUE)
rb_external_str_new	fn	zeo	VALUE (const char *, long)
rb_external_str_new_cstr	fn	zeo	VALUE (const char *)
rb_external_str_new_with_enc	fn	stub	VALUE (const char *, long, rb_encoding *)
rb_extract_keywords	fn	zeo	VALUE (VALUE *)
rb_f_abort	fn	zeo	VALUE (int, const VALUE *) __attribute__((noreturn))
rb_f_exec	fn	zeo	VALUE (int, const VALUE *) __attribute__((noreturn))
rb_f_exit	fn	zeo	VALUE (int, const VALUE *) __attribute__((noreturn))
rb_f_global_variables	fn	zeo	VALUE (void)
rb_f_kill	fn	zeo	VALUE (int, const VALUE *)
rb_f_notimplement	fn	zeo	VALUE (int, const VALUE *, VALUE, VALUE) __attribute__((noreturn))
rb_f_require	fn	zeo	VALUE (VALUE, VALUE)
rb_f_sprintf	fn	zeo	VALUE (int, const VALUE *)
rb_f_trace_var	fn	zeo	VALUE (int, const VALUE *)
rb_f_untrace_var	fn	zeo	VALUE (int, const VALUE *)
rb_fatal	fn	zeo	void (const char *, ...) __attribute__((noreturn))
rb_fd_fix_cloexec	fn	zeo	void (int)
rb_fdopen	fn	stub	FILE *(int, const char *)
rb_feature_provided	fn	zeo	int (const char *, const char **)
rb_fiber_alive_p	fn	zeo	VALUE (VALUE)
rb_fiber_current	fn	zeo	VALUE (void)
rb_fiber_new	fn	zeo	VALUE (rb_block_call_func_t, VALUE)
rb_fiber_new_storage	fn	zeo	VALUE (rb_block_call_func_t, VALUE, VALUE)
rb_fiber_raise	fn	zeo	VALUE (VALUE, int, VALUE *)
rb_fiber_resume	fn	zeo	VALUE (VALUE, int, const VALUE *)
rb_fiber_resume_kw	fn	zeo	VALUE (VALUE, int, const VALUE *, int)
rb_fiber_transfer	fn	zeo	VALUE (VALUE, int, const VALUE *)
rb_fiber_transfer_kw	fn	zeo	VALUE (VALUE, int, const VALUE *, int)
rb_fiber_yield	fn	zeo	VALUE (int, const VALUE *)
rb_fiber_yield_kw	fn	zeo	VALUE (int, const VALUE *, int)
rb_file_absolute_path	fn	zeo	VALUE (VALUE, VALUE)
rb_file_directory_p	fn	zeo	VALUE (VALUE, VALUE)
rb_file_dirname	fn	zeo	VALUE (VALUE)
rb_file_expand_path	fn	zeo	VALUE (VALUE, VALUE)
rb_file_open	fn	zeo	VALUE (const char *, const char *)
rb_file_open_str	fn	zeo	VALUE (VALUE, const char *)
rb_file_s_absolute_path	fn	zeo	VALUE (int, const VALUE *)
rb_file_s_expand_path	fn	zeo	VALUE (int, const VALUE *)
rb_file_size	fn	zeo	rb_off_t (VALUE)
rb_filesystem_encindex	fn	zeo	int (void)
rb_filesystem_encoding	fn	zeo	rb_encoding *(void)
rb_filesystem_str_new	fn	zeo	VALUE (const char *, long)
rb_filesystem_str_new_cstr	fn	zeo	VALUE (const char *)
rb_find_encoding	fn	stub	rb_encoding *(VALUE)
rb_find_file	fn	zeo	VALUE (VALUE)
rb_find_file_ext	fn	zeo	int (VALUE *, const char *const *)
rb_fix2int	fn	zeo	long (VALUE)
rb_fix2short	fn	zeo	short (VALUE)
rb_fix2str	fn	zeo	VALUE (VALUE, int)
rb_fix2uint	fn	zeo	unsigned long (VALUE)
rb_fix2ushort	fn	zeo	unsigned short (VALUE)
rb_float_new	fn	zeo	VALUE (double)
rb_float_new_in_heap	fn	zeo	VALUE (double)
rb_float_value	fn	zeo	double (VALUE)
rb_flt_rationalize	fn	zeo	VALUE (VALUE)
rb_flt_rationalize_with_prec	fn	zeo	VALUE (VALUE, VALUE)
rb_frame_callee	fn	zeo	ID (void)
rb_frame_method_id_and_class	fn	zeo	int (ID *, VALUE *)
rb_frame_this_func	fn	zeo	ID (void)
rb_free_generic_ivar	fn	zeo	void (VALUE)
rb_free_tmp_buffer	fn	zeo	void (volatile VALUE *)
rb_freeze_singleton_class	fn	zeo	void (VALUE)
rb_frozen_error_raise	fn	zeo	void (VALUE, const char *, ...) __attribute__((noreturn))
rb_fs	var	global	VALUE
rb_funcall	fn	zeo	VALUE (VALUE, ID, int, ...)
rb_funcall_passing_block	fn	zeo	VALUE (VALUE, ID, int, const VALUE *)
rb_funcall_passing_block_kw	fn	zeo	VALUE (VALUE, ID, int, const VALUE *, int)
rb_funcall_with_block	fn	zeo	VALUE (VALUE, ID, int, const VALUE *, VALUE)
rb_funcall_with_block_kw	fn	zeo	VALUE (VALUE, ID, int, const VALUE *, VALUE, int)
rb_funcallv	fn	zeo	VALUE (VALUE, ID, int, const VALUE *)
rb_funcallv_kw	fn	zeo	VALUE (VALUE, ID, int, const VALUE *, int)
rb_funcallv_public	fn	zeo	VALUE (VALUE, ID, int, const VALUE *)
rb_funcallv_public_kw	fn	zeo	VALUE (VALUE, ID, int, const VALUE *, int)
rb_gc	fn	zeo	void (void)
rb_gc_adjust_memory_usage	fn	zeo	void (ssize_t)
rb_gc_copy_finalizer	fn	zeo	void (VALUE, VALUE)
rb_gc_count	fn	zeo	size_t (void)
rb_gc_disable	fn	zeo	VALUE (void)
rb_gc_enable	fn	zeo	VALUE (void)
rb_gc_latest_gc_info	fn	zeo	VALUE (VALUE)
rb_gc_location	fn	zeo	VALUE (VALUE)
rb_gc_mark	fn	zeo	void (VALUE)
rb_gc_mark_locations	fn	zeo	void (const VALUE *, const VALUE *)
rb_gc_mark_maybe	fn	zeo	void (VALUE)
rb_gc_mark_movable	fn	zeo	void (VALUE)
rb_gc_register_address	fn	zeo	void (VALUE *)
rb_gc_register_mark_object	fn	zeo	void (VALUE)
rb_gc_start	fn	zeo	VALUE (void)
rb_gc_stat	fn	zeo	size_t (VALUE)
rb_gc_unregister_address	fn	zeo	void (VALUE *)
rb_gc_update_tbl_refs	fn	zeo	void (st_table *)
rb_gc_writebarrier	fn	zeo	void (VALUE, VALUE)
rb_gc_writebarrier_unprotect	fn	zeo	void (VALUE)
rb_genrand_int32	fn	zeo	unsigned int (void)
rb_genrand_real	fn	zeo	double (void)
rb_genrand_ulong_limited	fn	zeo	unsigned long (unsigned long)
rb_get_alloc_func	fn	zeo	rb_alloc_func_t (VALUE)
rb_get_argv	fn	zeo	VALUE (void)
rb_get_kwargs	fn	zeo	int (VALUE, const ID *, int, int, VALUE *)
rb_get_path	fn	zeo	VALUE (VALUE)
rb_get_path_no_checksafe	fn	zeo	VALUE (VALUE)
rb_get_values_at	fn	zeo	VALUE (VALUE, long, int, const VALUE *, VALUE (*)(VALUE, long))
rb_gets	fn	zeo	VALUE (void)
rb_glob	fn	zeo	void (const char *, void (*)(const char *, VALUE, void *), VALUE)
rb_global_variable	fn	zeo	void (VALUE *)
rb_gv_get	fn	zeo	VALUE (const char *)
rb_gv_set	fn	zeo	VALUE (const char *, VALUE)
rb_gvar_readonly_setter	fn	zeo	void (VALUE, ID, VALUE *) __attribute__((noreturn))
rb_hash	fn	zeo	VALUE (VALUE)
rb_hash_aref	fn	zeo	VALUE (VALUE, VALUE)
rb_hash_aset	fn	zeo	VALUE (VALUE, VALUE, VALUE)
rb_hash_bulk_insert	fn	zeo	void (long, const VALUE *, VALUE)
rb_hash_bulk_insert_into_st_table	fn	refused	void (long, const VALUE *, VALUE)
rb_hash_clear	fn	zeo	VALUE (VALUE)
rb_hash_delete	fn	zeo	VALUE (VALUE, VALUE)
rb_hash_delete_if	fn	zeo	VALUE (VALUE)
rb_hash_dup	fn	zeo	VALUE (VALUE)
rb_hash_fetch	fn	zeo	VALUE (VALUE, VALUE)
rb_hash_foreach	fn	zeo	void (VALUE, int (*)(VALUE, VALUE, VALUE), VALUE)
rb_hash_freeze	fn	zeo	VALUE (VALUE)
rb_hash_lookup	fn	zeo	VALUE (VALUE, VALUE)
rb_hash_lookup2	fn	zeo	VALUE (VALUE, VALUE, VALUE)
rb_hash_new	fn	zeo	VALUE (void)
rb_hash_new_capa	fn	zeo	VALUE (long)
rb_hash_set_ifnone	fn	zeo	VALUE (VALUE, VALUE)
rb_hash_size	fn	zeo	VALUE (VALUE)
rb_hash_size_num	fn	zeo	size_t (VALUE)
rb_hash_start	fn	zeo	st_index_t (st_index_t)
rb_hash_tbl	fn	refused	struct st_table *(VALUE, const char *, int)
rb_hash_update_by	fn	zeo	VALUE (VALUE, VALUE, rb_hash_update_func *)
rb_id2name	fn	zeo	const char *(ID)
rb_id2str	fn	zeo	VALUE (ID)
rb_id2sym	fn	zeo	VALUE (ID)
rb_id_attrset	fn	zeo	ID (ID)
rb_include_module	fn	zeo	void (VALUE, VALUE)
rb_inspect	fn	zeo	VALUE (VALUE)
rb_int2big	fn	zeo	VALUE (intptr_t)
rb_int2inum	fn	zeo	VALUE (intptr_t)
rb_int_pair_to_real	fn	stub	double (uint32_t, uint32_t, int)
rb_integer_pack	fn	zeo	int (VALUE, void *, size_t, size_t, size_t, int)
rb_integer_unpack	fn	zeo	VALUE (const void *, size_t, size_t, size_t, int)
rb_intern	fn	zeo	ID (const char *)
rb_intern2	fn	zeo	ID (const char *, long)
rb_intern3	fn	zeo	ID (const char *, long, rb_encoding *)
rb_intern_str	fn	zeo	ID (VALUE)
rb_internal_thread_add_event_hook	fn	stub	rb_internal_thread_event_hook_t *(rb_internal_thread_event_callback, rb_event_flag_t, void *)
rb_internal_thread_remove_event_hook	fn	stub	bool (rb_internal_thread_event_hook_t *)
rb_internal_thread_specific_get	fn	stub	void *(VALUE, rb_internal_thread_specific_key_t)
rb_internal_thread_specific_key_create	fn	stub	rb_internal_thread_specific_key_t (void)
rb_internal_thread_specific_set	fn	stub	void (VALUE, rb_internal_thread_specific_key_t, void *)
rb_interned_str	fn	zeo	VALUE (const char *, long)
rb_interned_str_cstr	fn	zeo	VALUE (const char *)
rb_interrupt	fn	zeo	void (void) __attribute__((noreturn))
rb_invalid_str	fn	zeo	void (const char *, const char *) __attribute__((noreturn))
rb_io_addstr	fn	zeo	VALUE (VALUE, VALUE)
rb_io_ascii8bit_binmode	fn	zeo	VALUE (VALUE)
rb_io_binmode	fn	zeo	VALUE (VALUE)
rb_io_bufwrite	fn	stub	ssize_t (VALUE, const void *, size_t)
rb_io_check_byte_readable	fn	stub	void (rb_io_t *)
rb_io_check_char_readable	fn	stub	void (rb_io_t *)
rb_io_check_closed	fn	stub	void (rb_io_t *)
rb_io_check_initialized	fn	stub	void (rb_io_t *)
rb_io_check_io	fn	stub	VALUE (VALUE)
rb_io_check_readable	fn	stub	void (rb_io_t *)
rb_io_check_writable	fn	stub	void (rb_io_t *)
rb_io_close	fn	zeo	VALUE (VALUE)
rb_io_closed_p	fn	stub	VALUE (VALUE)
rb_io_descriptor	fn	stub	int (VALUE)
rb_io_eof	fn	zeo	VALUE (VALUE)
rb_io_extract_encoding_option	fn	stub	int (VALUE, rb_encoding **, rb_encoding **, enum rb_io_mode *)
rb_io_extract_modeenc	fn	stub	void (VALUE *, VALUE *, VALUE, int *, enum rb_io_mode *, rb_io_enc_t *)
rb_io_fdopen	fn	zeo	VALUE (int, int, const char *)
rb_io_flush	fn	zeo	VALUE (VALUE)
rb_io_fptr_finalize	fn	stub	int (rb_io_t *)
rb_io_get_io	fn	stub	VALUE (VALUE)
rb_io_get_write_io	fn	stub	VALUE (VALUE)
rb_io_getbyte	fn	zeo	VALUE (VALUE)
rb_io_gets	fn	zeo	VALUE (VALUE)
rb_io_make_open_file	fn	stub	rb_io_t *(VALUE)
rb_io_maybe_wait	fn	stub	VALUE (int, VALUE, VALUE, VALUE)
rb_io_maybe_wait_readable	fn	stub	int (int, VALUE, VALUE)
rb_io_maybe_wait_writable	fn	stub	int (int, VALUE, VALUE)
rb_io_mode	fn	stub	int (VALUE)
rb_io_modestr_fmode	fn	stub	enum rb_io_mode (const char *)
rb_io_modestr_oflags	fn	stub	int (const char *)
rb_io_oflags_fmode	fn	stub	int (int)
rb_io_open_descriptor	fn	stub	VALUE (VALUE, int, int, VALUE, VALUE, struct rb_io_encoding *)
rb_io_path	fn	stub	VALUE (VALUE)
rb_io_print	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_io_printf	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_io_puts	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_io_read_check	fn	stub	void (rb_io_t *)
rb_io_read_pending	fn	stub	int (rb_io_t *)
rb_io_set_nonblock	fn	stub	void (rb_io_t *)
rb_io_set_timeout	fn	stub	VALUE (VALUE, VALUE)
rb_io_set_write_io	fn	stub	VALUE (VALUE, VALUE)
rb_io_stdio_file	fn	stub	FILE *(rb_io_t *)
rb_io_synchronized	fn	stub	void (rb_io_t *)
rb_io_taint_check	fn	stub	VALUE (VALUE)
rb_io_timeout	fn	stub	VALUE (VALUE)
rb_io_ungetbyte	fn	zeo	VALUE (VALUE, VALUE)
rb_io_ungetc	fn	zeo	VALUE (VALUE, VALUE)
rb_io_wait	fn	stub	VALUE (VALUE, VALUE, VALUE)
rb_io_wait_readable	fn	stub	int (int)
rb_io_wait_writable	fn	stub	int (int)
rb_io_write	fn	zeo	VALUE (VALUE, VALUE)
rb_is_absolute_path	fn	zeo	int (const char *)
rb_is_attrset_id	fn	zeo	int (ID)
rb_is_class_id	fn	zeo	int (ID)
rb_is_const_id	fn	zeo	int (ID)
rb_is_global_id	fn	zeo	int (ID)
rb_is_instance_id	fn	zeo	int (ID)
rb_is_junk_id	fn	zeo	int (ID)
rb_is_local_id	fn	zeo	int (ID)
rb_iter_break	fn	zeo	void (void) __attribute__((noreturn))
rb_iter_break_value	fn	zeo	void (VALUE) __attribute__((noreturn))
rb_iterate	fn	zeo	VALUE (VALUE (*)(VALUE), VALUE, rb_block_call_func_t, VALUE)
rb_iv_get	fn	zeo	VALUE (VALUE, const char *)
rb_iv_set	fn	zeo	VALUE (VALUE, const char *, VALUE)
rb_ivar_count	fn	zeo	st_index_t (VALUE)
rb_ivar_defined	fn	zeo	VALUE (VALUE, ID)
rb_ivar_foreach	fn	zeo	void (VALUE, int (*)(ID, VALUE, st_data_t), st_data_t)
rb_ivar_get	fn	zeo	VALUE (VALUE, ID)
rb_ivar_set	fn	zeo	VALUE (VALUE, ID, VALUE)
rb_jump_tag	fn	zeo	void (int) __attribute__((noreturn))
rb_keyword_given_p	fn	zeo	int (void)
rb_last_status_get	fn	zeo	VALUE (void)
rb_last_status_set	fn	zeo	void (int, rb_pid_t)
rb_lastline_get	fn	zeo	VALUE (void)
rb_lastline_set	fn	zeo	void (VALUE)
rb_ll2inum	fn	zeo	VALUE (long long)
rb_load	fn	zeo	void (VALUE, int)
rb_load_file	fn	refused	void *(const char *)
rb_load_file_str	fn	refused	void *(VALUE)
rb_load_protect	fn	zeo	void (VALUE, int, int *)
